06A,8,125.500,"ATLANTA"
06A,8,126.550,"ATLANTA"
06A,9,125.500,"ATLANTA"
06A,9,126.550,"ATLANTA"
06A,10,120.450,"ATLANTA"
06A,11,122.100,"ANNISTON"
06C,0,0,"Schaumburg Rgnl"
06C,3,123.000,"SCHAUMBURG REGL"
06C,4,123.000,"SCHAUMBURG REGL"
06D,0,0,"Rolla Mun"
06D,3,122.800,"ROLLA MUN"
06D,4,122.800,"ROLLA MUN"
06D,10,127.600,"MINNEAPOLIS"
06D,11,122.650,"GRAND FORKS"
06M,0,0,"Eupora"
06M,2,122.900,"EUPORA"
06M,4,122.900,"EUPORA"
06N,0,0,"Randall"
06N,3,122.800,"RANDALL"
06N,4,122.800,"RANDALL"
06N,8,132.750,"NEW YORK"
06N,9,132.750,"NEW YORK"
06N,11,122.100,"NEW YORK"
06R,0,0,"Grawunder Field"
06R,2,122.900,"GRAWUNDER"
06R,4,122.900,"GRAWUNDER"
06U,0,0,"Jackpot/Hayden Field"
06U,3,122.800,"JACKPOT/HAYDEN"
06U,4,122.800,"JACKPOT/HAYDEN"
06U,11,122.500,"RENO"
06WN,0,0,"Western"
06WN,2,122.800,"WESTERN"
06WN,4,122.800,"WESTERN"
06Y,0,0,"Herman Muni"
06Y,2,122.900,"HERMAN MUN"
06Y,4,122.900,"HERMAN MUN"
07A,0,0,"Franklin"
07A,3,122.800,"FRANKLIN"
07A,4,122.800,"FRANKLIN"
07B,0,0,"Blue Hill"
07B,2,122.900,"BLUE HILL"
07B,4,122.900,"BLUE HILL"
07D,0,0,"Tackaberry"
07D,2,122.900,"TACKABERRY"
07D,4,122.900,"TACKABERRY"
07F,0,0,"Gladewater Muni"
07F,2,122.900,"GLADEWATER"
07F,4,122.900,"GLADEWATER"
07F,8,118.250,"LONGVIEW"
07F,9,118.250,"LONGVIEW"
07F,10,135.100,"FT WORTH"
07K,0,0,"Central City Muni - Larry Rein"
07K,2,122.900,"CENTRAL CITY MUN"
07K,4,122.900,"CENTRAL CITY MUN"
07MT,0,0,"Glasgow Industrial"
07MT,8,126.850,"SALT LAKE"
07MT,9,126.850,"SALT LAKE"
07MT,11,122.900,"GLASGOW INDUSTRIAL"
07N,0,0,"Bermudian Valley"
07N,3,122.800,"BERMUDIAN VALLEY"
07N,4,122.800,"BERMUDIAN VALLEY"
07R,0,0,"Bishop Muni"
07R,2,122.800,"ACTIVATE LIGHTS ONLY"
07R,2,122.900,"BISHOP MUN"
07R,4,122.900,"BISHOP MUN"
07V,0,0,"Cuchara Valley At La Veta"
07V,2,122.700,"ACTIVATE LIGHTS ONLY"
07V,3,122.800,"CUCHARA VALLEY APT AT LA"
07V,4,122.800,"CUCHARA VALLEY APT AT LA"
07Y,0,0,"Hill City-Quadna Mountain"
07Y,2,122.900,"HILL CITY-QUADNA MTN"
07Y,4,122.900,"HILL CITY-QUADNA MTN"
08A,0,0,"Wetumpka Muni"
08A,3,123.050,"WETUMPKA MUN"
08A,4,123.050,"WETUMPKA MUN"
08A,8,121.200,"MONTGOMERY"
