'4004
0AA5,Rangeview Airstrip,0,123.60,0,0,0,0,0,0
0AK,Pilot Station,0,0,0,0,0,122.90,0,0
0AK1,Anderson Lake,0,122.80,0,0,0,0,0,0
0AK2,Cape Simpson,0,122.90,0,0,122.80,0,0,0
0AK3,Parker Lake,0,122.90,0,0,0,0,0,0
0AK9,Falcon Lake Strip,0,122.90,0,0,0,0,0,0
0B1,Bethel Regl,0,0,0,0,0,122.90,0,0
0B2,Brewer,0,0,0,0,0,122.90,0,0
0B4,Hartington Muni/ Bud Becker Fl,0,0,0,0,0,122.90,0,0
0B5,Turners Falls,0,0,0,0,123.00,123.00,0,0
0B7,Warren-Sugarbush,0,0,0,0,123.00,123.00,0,0
0B8,Elizabeth Field,0,122.10,0,0,122.80,122.80,125.75,125.75
0C0,Dacy,0,0,0,0,0,122.90,0,0
0C1,Triple R,0,0,0,0,122.70,122.70,0,0
0C2,Hinckley,0,0,0,0,0,123.30,0,0
0C4,Pender Mun,0,0,0,0,0,122.80,0,0
0C5,Canadian Lakes,0,0,0,0,0,122.90,0,0
0C7,Grandpa's Farm-Mendota,0,0,0,0,0,122.90,0,0
0C8,Cushing,0,0,0,0,122.70,122.70,0,0
0D6,Wilber Mun,0,0,0,0,0,122.90,0,0
0D7,Ada,0,0,0,0,122.80,122.80,0,0
0D8,Gettysburg Muni,0,0,0,0,122.80,122.80,0,0
0E0,Moriarty,0,0,0,0,0,122.90,0,0
0E8,Crownpoint,0,0,0,0,122.80,122.80,0,0
0E9,Corydon,0,0,0,0,122.80,122.80,0,0
0F2,Bowie Muni,0,0,0,0,122.80,122.80,0,0
0F3,Spirit Lake Mun,0,0,0,0,122.70,122.70,0,0
0F4,Loup City Mun,0,0,0,0,0,122.90,0,0
0F7,Fountainhead Lodge,0,0,0,0,0,122.80,0,0
0F9,Tishomingo,0,0,0,0,0,122.90,0,0
0G0,North Buffalo Suburban,0,0,0,0,123.00,123.00,126.50,126.50
0G3,Tecumseh Muni,0,0,0,0,0,122.90,0,0
0G6,Williams County,0,122.10,0,0,122.80,123.00,134.35,134.35
0G7,Finger Lakes Rgnl,0,126.12,0,0,122.80,122.80,119.55,126.12
